A-1	絶好調！あなたの魅力が自然にこぼれて、片想いも実る暗示です。
L-10	ケンカの暗示。お互いの意思を確認し、誤魔化さない事が大切。
A-11	相手の過去が、今のふたりに影を落としそう。迷いは禁物ですよ。
B-11	イライラから関係がギクシャクしそう。素直に謝りましょう。
C-11	今の恋に不満を感じてるかも。気楽な友達と過ごしてみたら？
D-11	過去の恋が原因で、口ゲンカになりそう。今の気持ちを大切に。
E-11	相手に不信感を抱くかも。もっとおおらかに二人の時間を大切に。
F-11	相手の過去など不信感を抱いてしまうかも。こだわりすぎないで。
G-11	過去の恋を引きずりすぎると、大切な人を失う結果に。要注意！
H-11	面倒なことをみんな相手に押しつけそう。二人の絆は協力から。
I-11	パートナーに疑問を感じる出来事アリ。優しくした方がイイ薬に。
J-11	周囲の中傷や相手から検索されそうな暗示。感情的にならないで。
K-11	昔の恋の燃えカスがくすぶり出しそう。ややこしい事になるかも。
L-11	不信感の暗示。あなたの尽くしすぎが原因かも。自信を持って。
A-12	音楽や本、映画の話題にラッキーが。見直される暗示アリです。
B-12	嬉しい出会いの予感。相手にプレゼントするとハッピーな事が。
C-12	ラブ運はまずまず。「愛してるよ」の一言がハッピーのカギ。
D-12	ゲームや、ネットの話題で盛り上がったりして、無邪気なふたり。
E-12	気になる異性の影アリ。ハッピーな恋の可能性も大。手紙が吉。
F-12	いつもとは違う相手の素顔を発見できそう。将来の夢を語って。
G-12	気になる異性との出会い！強烈ではないけれどかなりハッピー。
H-12	ささやかなトキメキが待っていそう。異性の友人の暗示アリ。
I-12	あなたを見つめているその視線に今日は気づくかも。気軽に声を。
J-12	チョット刺激が欲しいあなたは同級生に連絡してみるとラッキー。
K-12	尊敬できる魅力的な異性に出会える暗示。ハリキって過ごせそう。
L-12	好調！相手の意外な魅力を発見できそう。出会いのチャンスあり。
A-13	ブルーな気分の暗示。きょうは静かに過ごすのが一番のようです。
B-13	未練を断ち切るチャンス！二人の愛情でどんな困難も乗り切って。
C-13	トラブルの暗示。あまり一方的すぎると、相手が疲れますよ。
D-13	相手の心が遠く感じられ、不安な気持ち。どっしり構えて静観を。
E-13	好意が誤解されないように、より相手の気持ちを考えること。
F-13	本物の愛なのかエゴなのかを試されそう。冷静さが必要な日。
G-13	昔の恋人の亡霊が二人の間を邪魔しに来そうな気配です。
H-13	ちょっと不安定な運気。不用意な言動でヒビが入る事もありそう。
I-13	相手に不愉快な思いをさせていませんか？今日フォローを入れて。
J-13	相手とのコミュニケーションに、不満を感じて、トゲトゲしそう。
K-13	相手の気持ちがわからない不安な一日。黙って側にいるのが正解。
L-13	今日の独善的な態度は、ＮＧ。押しつけがましく受け取られそう。
A-14	ジェラシーに苦しむ暗示。ささいなことから深刻なケンカに。
B-14	パートナーの浮気や過去で大ゲンカに？今が大事、静観しよう。
C-14	浮気の影が？相手を信じ、納得するまで話し合ってみてね。
D-14	愛情に迷いの影が。少し距離を置いて冷静な話し合いをしよう。
E-14	相手の悪い噂が聞こえてきそう。周囲の中傷など気にしない事。
F-14	二人の間に迷いが生じたら、冷静に気持ちを整理してみよう。
G-14	秘密がバレそうな暗示。素直に認めてしまった方がスムーズに。
H-14	相手に不信感をもたれそう。慎重に！今日の嘘は確実にバレます。
I-14	二人が避けてきた問題が浮上しそう。じっくり話し合って吉。
J-14	相手のワガママを聞きすぎて苦しくなりそう。たまにはビシッと！
K-14	嫉妬の炎がメラメラ！苦しい思いをしそう。感情的になるとＮＧ。
L-14	愛情に迷いが生じる星回り。二人に深い影が、根が深い問題です。
A-15	ライバル登場の暗示。ワガママは本気で反省した方がイイみたい。
B-15	別れの予感。愛情が試される時でもあるので冷静に話し合ってね。
C-15	大ゲンカしそう！悪いのがあなたなら素直に謝って。
D-15	甘えすぎて愛想を尽かされそう。不平不満をグッと我慢しよう。
E-15	大ゲンカに発展しそうな暗示。譲れないようなら別れも近づく？
F-15	大ゲンカに発展しそうな暗示。片想いの人はきょうは静観して。
G-15	ほかの異性と親しげにしているとあらぬ誤解を招きそうな暗示。
H-15	ライバル登場で大あわてしそう。忍耐が必要。様子を見守って。
I-15	二人が衝突する暗示。ワガママを言い過ぎてるせいかも。冷静に。
J-15	相手に恩着せがましく振る舞うと、愛想をつかされるので注意。
K-15	誰かと比較し相手のアラが気になる？相手次第で良くも悪くも。
L-15	別離の暗示が。日頃の不満が一気に爆発しそう。愛が試される時。
A-16	赤信号が点滅しています。相手の心変わりで、突然の破局も。
B-16	好きな人に嫌われるかも。浮気心をおさえて今日は清廉潔白に。
C-16	浮気がドロ沼化しそうな暗示。行動や発言には責任を持って。
D-16	不倫相手？が登場の暗示。優柔不断はあとで手痛いしっぺ返しが。
E-16	心トキメク出会いの予感。恋人のいる人はトラブルを招く結果に。
F-16	自分とは正反対の魅力の相手に心奪われそう。辛い思いだけかも。
G-16	気持ちがスグ顔に出そうな日。両天秤かけてるあなたは修羅場！
H-16	一目ボレの暗示。でも、相性はイマイチだから胸に秘めた方が…。
I-16	恋をしたい衝動。でもお相手は役不足。オジャマ虫にも要注意。
J-16	浮気の虫がムズムズ。今日の浮気は発覚の暗示。代償が大きそう。
K-16	不倫願望が高まる日。遊びでは割り切れません。ドロ沼覚悟で！
L-16	理性を失うような心魅かれる人との出会いの暗示。リスク覚悟で。
A-17	家族みんなが幸福感に満ち溢れた気持ちのいい日になりそう。
B-17	最高の運勢！愛情に満ちあふれ、家族のイベントも大成功。
C-17	夫婦の愛情の強さを再認識できそう。素直な気持ちを口にしよう。
D-17	愛情運気が急上昇。夫婦の時間を大切にすると絆が深まるはず。
E-17	満ち足りた日になるはず。あなたの魅力で家庭が明るくなりそう。
F-17	あなたの魅力が輝くとき。少々のわがままも許してくれるかも。
G-17	家族の愛を実感できる幸せな一日。活発に行動するとさらに吉。
H-17	伴侶から愛されていることを実感できそう。二人で出かけると吉。
I-17	改めて伴侶への深い愛情を感じるとき。甘えてみるのもいいかも。
J-17	大吉運！オシャレに気を配ってみると、伴侶から優しい言葉が。
K-17	自然にパートナーと心がつながっている実感を共有できるとき。
L-17	周囲の人を幸福にさせるような温かいオーラを出せるはず。
A-18	夫婦の息がぴったり合うとき。互いに上手にフォローしあえそう。
B-18	ハプニングのおかげで家族の有難さに気づき、絆が深まるとき。
C-18	この人と結婚してよかった！と思える事件が起こる予感あり。
D-18	夫婦二人だけで旅行やデートができそう。お土産を忘れずに。
E-18	困ったことが起きても夫婦二人で考えれば簡単に解決できるはず。
F-18	黙っていても心が通い合うとき。二人の愛は深まるばかり。
G-18	あなたの人気が高まる日。好意を寄せる異性が現れそう。
H-18	友達以上に親しくなれる異性が登場。爽やかな友情が続くはず。
I-18	夫婦の絆が深まる出来事がありそう。幸せを実感できるとき。
J-18	家族に嬉しい出来事が起こり、夫婦仲はますます好調に。
K-18	夫婦友達と遊びに行くと、自分の伴侶の良さを再確認できそう。
L-18	家族が団結できる暗示あり。感謝の気持ちを大切にすること。
A-19	あなたの人気が高まる日。気の合う異性と出会えそうな予感。
B-19	人気運が高まり、伴侶からあなたの存在を見直されるとき。
C-19	心ときめくような異性と出会いそう。深入りしないように要注意。
D-19	新しい異性と出会って、忘れかけていた情熱がよみがえりそう。
E-19	友人のパートナーと比べて自分の伴侶の魅力を再確認しそう。
F-19	気になる異性が現れても、伴侶に気づかれないようにしましょう。
G-19	夫婦間の会話が弾む一日。趣味や子供時代の話をすると吉。
H-19	夫婦喧嘩をしたら、友人も交えて外食すると仲直りできるはず。
I-19	伴侶には言えないことでも相談できる異性の友人が出来そう。
J-19	パートナーの友人に人気があり、おしどり夫婦と呼ばれそう。
K-19	尊敬できる異性に出会えそうな予感。信頼関係を芽生えそう。
L-19	夫婦同伴の集まりに出かけると楽しいひとときを過ごせるはず。
A-20	平凡な毎日に飽きぎみ。独身時代の刺激を欲してしまいそう。
B-20	約束事に縛られて窮屈な思いをしていたら話し合ういい機会。
C-20	結婚生活にマンネリを感じたら、独身時代のデートを思い出そう。
D-20	夫婦で思い出の場所に行くと二人の愛を再確認できるはず。
E-20	たまには夫婦水入らずで外食すると、新鮮な気持ちになれそう。
F-20	相手の好物やプレゼントを贈ると二人の絆が深まる暗示あり。
G-20	照れくさくても感謝の気持ちを言葉で伝えるようにしましょう。
H-20	夫婦でスポーツ観戦するとストレスも解消できてホットな一日に。
I-20	家事の分担などを話し合うのに最適な日。二人の関係も上昇。
J-20	夫婦といえども約束したことは守るように。信頼関係を大切に。
K-20	夫婦で仕事や人生観について語ると、あなた自身が磨かれそう。
L-20	実家や親戚関係で問題が起きても二人で知恵を出せばいい展開に。
A-21	他人の芝生が青く見えるとき。他人の結婚生活をうらやみがちに。
B-21	自分よりも条件のいい結婚をした人をうらやんで自己嫌悪に。
C-21	伴侶の喜ぶ顔を見て幸せな気分に。気持ちが暖かい一日。
D-21	新しい夫婦の関係が生まれそう。柔軟な考え方で対処すると吉。
E-21	互いの気持ちがスムーズに伝わりやすい日。話し合うと吉。
F-21	小さな思いやりが幸運につながる日。相手を喜ばせてあげよう。
G-21	たまには凝った演出で夫婦間のマンネリを吹きとばしてみると吉。
H-21	夫婦で話し合うには絶好の日。いい解決策が必ず出てくるはず。
I-21	腹の立つことが起こるかも。相手の性格を賢く利用して解決を。
J-21	夫婦でショッピングに出かけると嬉しいことが起こりそう。
K-21	共通の趣味や仲間が見つかって夫婦間の話題が豊富になりそう。
L-21	お互いに相手の身になって冷静に話し合える日になりそう。
A-22	ほのかにときめく異性が登場しそう。あなたの手助けになるはず。
B-22	お互いにいい意味で刺激しあえる異性の友人ができそうな予感。
C-22	恋の駆け引きを楽しめる相手が現れるが、ほどほどにておくべき。
D-22	趣味が同じ異性と急接近。下心がなくても距離を保つように。
E-22	夫婦でも話せないことは異性の友人に相談をしてみると吉。
F-22	二人で出かけると吉。共通の趣味を持つことが夫婦円満の鍵。
G-22	仲のいい友達と夫婦同伴で飲みに行くとマンネリが解消されて吉。
H-22	伴侶にはない魅力を備えた異性が現れ、心が揺れてしまうかも。
I-22	平穏な愛情に恵まれるはず。お土産で家族団らんも弾みそう。
J-22	知人の夫婦と親しくなれそう。家族ぐるみで付き合うと吉。
K-22	心華やぐ出会いがある予感。洗練された魅力を感じてしまいそう。
L-22	気の合う異性の友達に相談に乗ってもらうと的確なアドバイスが。
A-23	小さな不平不満が出てきそう。思い通りにはならない予感。
B-23	仕事や趣味にかまけて家庭をおろそかにしたツケが回ってきそう。
C-23	結婚前と態度が変わった伴侶に傷つきそう。原因はあなたかも。
D-23	お互いに忙しくてすれ違いがち。思いやりを形で残すように。
E-23	相手への不満を強く感じてしまうけどそれはあなたのエゴかも。
F-23	失言で傷つけてしまうかも。夫婦といえども気配りを忘れずに。
G-23	独占欲が高まる日。度を越すとウンザリされてしまいそう。
H-23	派手な夫婦喧嘩をしそう。決定的な一言は言わないように。
I-23	他人が原因で喧嘩になりそう。自分の意志を強く持つように。
J-23	自分勝手ばかりしていると家族の中からはみ出してしまいそう。
K-23	伴侶への不満が爆発するとき。でも原因はあなたの自己中かも。
L-23	夫婦喧嘩のおかげでお互いの意思を確認し合えるきっかけが。
A-24	家庭の中がとげとげしいのは、あなたの要求が大きすぎるかも。
B-24	ささいなことで家庭がギクシャクと。素直に謝って仲直りしよう。
C-24	結婚生活に不満がたまっているのなら、ちゃんと話し合いを。
D-24	不毛な口喧嘩になりがち。夫婦関係がトゲトゲしてしまいそう。
E-24	自分は愛されているのか疑問が。もっと夫婦の時間を大切に。
F-24	パートナーに不信感が。でもそれは誤解である可能性大。
G-24	先送りにしていた夫婦間の問題が浮上。決着をつけておくこと。
H-24	面倒なことをみんな相手に押しつけそう。夫婦の絆は協力から。
I-24	浮気しているかも？問いつめずに優しくすると逆に効果あり。
J-24	伴侶から詮索されそう。感情的にならずに堂々と話し合いを。
K-24	家庭での居心地が悪くなるかも。責任はあなたにあるみたい。
L-24	奉仕すると吉。相手のワガママも受け入れてあげるように。
A-25	結婚を後悔してしまいそうなことが。お互いによく話し合って。
B-25	結婚前の交際相手が原因で夫婦喧嘩に。今の生活を大切に。
C-25	浮気の疑いをかけられそう。誤魔化さずに疑いは晴らすこと。
D-25	無意識にたまっている不満が表面化しそう。冷静に話し合いを。
E-25	責任を押しつけられて怒りが。不満は一人で抱え込まないように。
F-25	二人の間に心配事が。二人で責任を押し付け合わないように。
G-25	家に仕事を持ち込むのはタブー。気持ちの切り替えを心がけて。
H-25	パートナーに不信感を持たれそう。今日の嘘は確実にばれる。
I-25	責任の押し付け合いが始まりそう。ルールを作っておくとよい。
J-25	あなたの一方的な物言いは夫婦の間にヒビを入れてしまいそう。
K-25	結婚への夢や期待が砕かれ苦い後悔の暗示。話し合いが肝要。
L-25	トラウマが夫婦関係に影響が。長い目で対処するように。
A-26	夫婦のすれ違いが表面化。離婚の危機まで発展する可能性が。
B-26	離婚になりそうな最悪の出来事が。あなたの愛情が試されるとき。
C-26	ささいな言葉の行き違いで家庭崩壊の危機へ発展しそう。
D-26	あなたの愛情が試されるとき。離婚したくてもぐっと我慢を。
E-26	つまらないことで大喧嘩に。互いに譲れないなら別れるかも。
F-26	イライラを相手にぶつけてしまい大喧嘩に。甘えるのは禁物。
G-26	意見の不一致から揉め事が。冷静沈着な態度を維持するように。
H-26	相手の態度にイライラしそう。今日はじっと忍耐が必要。
I-26	夫婦の実感が持てず結婚生活に不安が。冷静に見つめ直して。
J-26	別れ話が浮上するかも。別れたくないなら気持ちを伝えること。
K-26	誰かと比較してパートナーのアラがひどく気になりがちに。
L-26	潜在していた不満が爆発しそう。不満の原因をきちんと考えよう。
A-27	浮気心が一気に燃え上がりそう。でもこの恋はかなり危険かも。
B-27	浮気心が災いしてひどい失態をしそう。清廉潔白を心がけよう。
C-27	浮気が泥沼化しそうな暗示。覚悟しておいた方がいいでしょう。
D-27	不倫願望が強くなり、理想的な異性も登場する暗示あり。
E-27	伴侶以外の異性好きになってしまうと取り返しのつかないはめに。
F-27	恋をしたい衝動にかられても今の生活が大事なら火遊びは厳禁。
G-27	伴侶への不満から他の異性に目がいっても清い関係を保つように。
H-27	心ときめく出会いがあっても、一時の感情に流されないように。
I-27	伴侶以外の異性と肉体関係が。しかし相手はかなりの曲者。
J-27	今日浮気すると発覚する暗示あり。浮気の代償は大きいかも。
K-27	不倫願望が高まり、遊びで終わらなくなりそう。泥沼になるかも。
L-27	伴侶に対する愛情が他に向けられるかも。のめり込むと危険。
A-28	気付かなかった相手の長所を発見。結婚してよかったと幸福感が。
B-28	ほんわかムードで気持ちがピッタリ。将来のことを話し合うと吉。
C-28	夫婦の会話を大切にすると新たな発見が。深い信頼が築けるはず。
D-28	平穏な二人の関係に心地よい幸せを噛みしめられる日。
E-28	喧嘩中でも仲直りできるようなラッキーな出来事が起こりそう。
F-28	久しぶりに夫婦でデートすると恋人同士のような楽しい一日に。
G-28	幸せで穏やかな一日。あなたの笑顔が相手を幸せにするはず。
H-28	二人にとって嬉しいニュースが。夫婦仲はますますホットに。
I-28	悩みが解決し、スッキリと。伴侶の愛を改めて感じるのでは？
J-28	平凡な一日。刺激がほしいなら友人とカラオケに行くと吉。
K-28	伴侶の長所がはっきり出てきてこの人を選んでよかったと満足。
L-28	心と心が通い合い、離婚を考えていた人も考え直すチャンスが。
A-29	家庭内で揉め事発生。つまらないことで言い争いになりそう。
B-29	不平不満が爆発して、刃傷沙汰にもなりかねない危険な影が。
C-29	夫婦間に問題浮上。逃げ出さずに誠実な対抗を心がけるように。
D-29	嫌味を連発して、相手を深く傷付けてしまいそう。気をつけて。
E-29	思いやりに欠けると相手の心が離れていってしまう恐れあり。
F-29	秘密がばれて一波乱あるかも。弁解せずに誠意を見せて。
G-29	約束をすっぽかして大喧嘩に。最低限のルールを守るように。
H-29	嫌なウワサを聞いて不愉快な気分になっても問い詰めないように。
I-29	伴侶に軽く扱われているような気持ちに。不満は口にするとよし。
J-29	発作的に口にした言葉が取り返しのつかない事態を招く恐れが。
K-29	イライラして理由もないのに言い争いを吹っかけてしまいそう。
L-29	すきま風が吹き荒れる暗示。思いやりの太陽で温めよう。
A-30	夫婦関でも忘れがちな優しい言葉をかけあう努力をすること。
B-30	共通の友達と食事を楽しむと、伴侶に惚れ直すことができそう。
C-30	今日は伴侶に対してときめきを感じるかも。デートするなら今日。
D-30	ふとしたことで伴侶に感謝の気持ちが湧いてきそうな予感。
E-30	最近すれ違っていた二人も今日は愛情を確認しあえそう。
F-30	ちょっとした気遣いが効果大。新鮮な気持ちがよみがえりそう。
G-30	不満がたまっているなら気持ちを吐き出すのにぴったりの日。
H-30	ゆっくり夫婦で過ごす時間を取ると吉。ワインを飲むのもよし。
I-30	気持ちの行き違いがありそう。気分転換をした方が勝ち。
J-30	忙しくてすれ違いの多い夫婦は老後の夢を話題にすると吉。
K-30	伴侶のちょっとした優しい気遣いがあなたを幸せな気持ちに。
L-30	二人とは関係ないところで波風が立っても動じないように。
A-31	ちょっと気になる異性と出会えただけで一日ウキウキ過ごせそう。
B-31	パートナーへの不意のプレゼントが二人の仲をますます熱く。
C-31	パートナーへの優しい気持ちが自然にふわっと湧いてきそう。
D-31	一緒にゲームで楽しんだり恋人同士のように無邪気に楽しめそう。
E-31	夫婦関係が気まずい人は手紙を書くと吉。受け止めてくれるはず。
F-31	将来や老後の夢を話し合ってみると楽しい時間が過ごせそう。
G-31	職場の異性と飲みに行ってみては？帰って夫婦の絆が深まりそう。
H-31	電車の中で見かけた人にささやかなトキメキを感じてしまいそう。
I-31	出がけのキスなど恋人時代のような愛情表現をすると吉。
J-31	不満はないけれど刺激が欲しいなら同級生に連絡してみては。
K-31	尊敬できる魅力的な異性と出会い、張り切って過ごせそうな気分。
L-31	今日は直接話すよりもメールや手紙で気持ちを伝えると効果的。
A-32	家事や育児の分担で不満がたまり、大喧嘩しそうな雲行き。
B-32	老親や子供のことで問題が起きても二人の愛情で乗り越えよう。
C-32	実家のことが原因でトラブルが起きても自分たちの家庭を大切に。
D-32	共働きの人は家事や育児の負担がアンバランスで険悪ムードに。
E-32	相手への要求を少なくし、不満が膨らまないように工夫を。
F-32	日頃の不満が爆発し、伴侶への信頼関係が崩れてしまう予感。
G-32	あなたのワガママで家の中は荒れ模様。甘えすぎないように注意。
H-32	いつもなら許せることが今日は我慢できず派手な喧嘩をしそう。
I-32	義理の親のことで不愉快な思いを味わいそう。じっと我慢を。
J-32	夫婦間の会話不足に不満を感じて気持ちがトゲトゲしそう。
K-32	家事の分担で喧嘩しそう。協力し合えないなら破局するかも。
L-32	役割意識が強くなり、互いに息苦しく感じてしまっているかも。
A-33	とても情熱的な一日になりそう。思いのままに楽しめる暗示です。
B-33	情熱的な体験ができそう。深い関係に発展したり大満足しそう。
C-33	運勢は最高！充実した愛情豊かなセックスが楽しめそう。
D-33	きょうのあなたは強烈にセクシー。大胆なセックスが楽しめそう。
E-33	セクシーな魅力にあふれ情熱的に愛しあえそう。開放的で大胆に。
F-33	情熱的なエッチが待っている暗示。最高のキブンが満喫できそう。
G-33	セクシーな魅力に輝く星まわり。二人の甘い時が過ごせそう。
H-33	情熱的な気分が高まる日。二人で満ち足りた時間が過ごせそう。
I-33	いつもよりエネルギッシュに。あなたの積極的な態度にビックリ。
J-33	大吉！今日のあなたはとってもセクシー。相手はあなたに夢中。
K-33	最高のモテモテ運！大胆で情熱的なエッチが待っているでしょう。
L-33	今日のあなたはとてもセクシーなはず。積極的にアプローチを。
A-34	気持ちに正直になって吉。心も深くつながって大満足できるはず。
