A-1	絶好調！あなたの魅力が自然にこぼれて片想いも実る暗示。
D-12	ごく自然に対等な関係がキープ。今日のデートはワリカンでね。
E-12	気になる相手には、即、行動開始！ラッキーな事が起こる予感が。
F-12	恋の女神はあなたの味方。思い通りの行動で素敵な出会いがアリ。
G-12	人目ボレする暗示。直感を信じてＯＫ。積極的なアプローチで。
H-12	イイ関係になれそうな異性が出現。交際を考えてみてはいかが？
I-12	ハートに火がつきそうな予感！映画やコンサートに誘ってＯＫ。
J-12	ラッキーな事が。強気でいってＯＫ。別れた恋人と復活するかも。
K-12	恋をしている幸福をめいっぱい味わえそう。愛する喜びを再発見。
L-12	あなたにほのかな恋心を抱く人も。おつきあいを始めてみては？
A-13	恋の裏切りが待っているかも。どんな時もプライドを忘れないで。
B-13	大事な人とケンカをしそう。自分たちの関係を客観的に見ること
C-13	トラブル発生。価値観の違いが浮き彫りになり、サヨナラもあり。
D-13	意地を張ったり、イヤミの連発に相手は深く傷つくでしょう。
E-13	三角関係のトラブルの暗示。態度をはっきり、口の災いに注意。
F-13	あなたの堅苦しさが原因で入り込めないのでは？ラフな感じでね。
G-13	強力なライバルが登場しそう。相手は一枚上手。誠実さで勝負。
H-13	相手を思い通りに支配するのはタブー。追えばますます逃げます。
I-13	デートでイライラした気持ちでいると、ケンカになりますよ。
J-13	好き勝手にしていると別れ話を切り出される恐れが。優しくして。
K-13	悲しい出来事が！心が痛むような言葉や辛い告白が。心の準備を。
L-13	恋のトライアングルが表面化しそう。大事なのはあなたの気持ち。
A-14	軽いスキンシップが、きょうのふたりにはとっても効果的。
B-14	行き詰ったら恋人に相談。新たな恋の局面を迎えそう。
C-14	新たな異性が登場しそう。周囲から「会ってみない？」の声も。
D-14	恋が始まる予感。やけに魅力的に感じられ相手に伝わりそう。
E-14	映画や本の話題で、ちょっと知的なあなたを演出すると効果大。
F-14	あなたが甘えすぎに気をつければ、新鮮でホンワカなふたり。
G-14	いつもとはひと味違ったオシャレを楽しんで。ラブ運がアップ！
H-14	香水を変えたり、着ないような色を身につけるとラブ運がアップ！
I-14	片想いの相手との距離を縮めたければ、相談を持ちかけてみては？
J-14	ライバルを出し抜く恋の駆け引きは、きっとあなたが有利なはず。
K-14	恋によって成長できる暗示。自分自身をよく振り返ってみては？
L-14	片想いなら、恋の成否はあなたのインテリジェンス次第の模様。
A-15	音楽や本、映画の話題にラッキーが。見直される暗示アリです。
B-15	嬉しい出会いがありそう。あなたにラッキーをもたらしてくれるはず。
C-15	今日のラブ運はまずまず。ささやかなハッピーが待っているはず。
D-15	さり気なくフォローしてくれる人、それはベターハーフ候補かも。
E-15	気になる異性の影アリ。ハッピーな恋の可能性も高いようです。
F-15	いつもとは違う相手の素顔を発見できそう。恋が深まる暗示です。
G-15	気になる異性との出会い！強烈ではないけれどかなりハッピー。
H-15	異性の友人に恵まれる暗示。恋の相談をするといいアドバイスが。
I-15	あなたを見つめているその視線に今日は気づくかも。気軽に声を。
J-15	ちょっといいな。そんな異性が待っていそう。友達の友達とかね。
K-15	身近な友達から、恋が生まれそう。フレンドリーな関係が吉。
L-15	好調！相手の意外な魅力を発見できそう。出会いのチャンスあり。
A-16	ブルーな気分の暗示。きょうは静かに過ごすのが一番のようです。
B-16	相手に泣かされている人。未練を断ち新しい恋をつかむことも大事
C-16	恋人を自分の思い通りに改造したくなりそう。一方的なのはＮＧ。
D-16	恋人の心が遠く感じられ、不安な気持ち。どっしり構えて静観を。
E-16	行為が誤解されないように、より相手の気持ちを考えてあげて。
F-16	あなたの気持ちが、本物の愛なのかエゴなのかを試されそう。
G-16	昔の恋人の亡霊がふたりの間を邪魔しに来そうな気配です。
H-16	ちょっと不安定な運気。不用意な言動でヒビが入る事もありそう。
I-16	恋人を放りっぱなしにしていませんか？今日フォローを入れてね。
J-16	恋に恋してる自分に気がついてしまうかも。相手を傷つけないで。
K-16	相手の気持ちがわからない不安な一日。黙って側にいるのが正解。
L-16	今日の独善的な態度は、ＮＧ。押しつけがましく受け取られそう。
A-17	あなたの良さで、家族みんなが幸せ一杯に過ごせる暗示です。
B-17	愛情に満ちあふれ、家庭の幸福をしみじみ味わえそうです。
C-17	夫婦の愛情の強さを再認識するような、嬉しい出来事が起きそう。
D-17	愛情運気が急上昇します。ほころびかけた絆もグッと深まりそう。
E-17	家族を愛する気持ちが伝わり、満ち足りた一日になりそう。
F-17	あなたの魅力が輝くラッキーデー。相手に深い愛情を感じそう。
G-17	家族から深く愛されていることを、実感できる幸せな日です。
H-17	心から愛されてる事を実感できる日。二人でデートを楽しむと吉。
I-17	深い愛情を感じるとき。今日は、思いきり相手に甘えて大吉です。
J-17	大吉運です。ちょっとオシャレに気を配るだけで、相手も優しく。
K-17	相手と心がつながっている確かな実感を共有できる星回りです。
L-17	温かいオーラがあふれ、あなたの周囲にいるだけで幸せに。
A-18	夫婦の息もピッタリ。家族ぐるみのおつきあいにラッキーあり。
B-18	家族のありがたさが実感できる、嬉しいハプニングが起こりそう。
C-18	ハッピーのきっかけは、ご近所付き合いや親戚関係からのよう。
D-18	家族や周囲の協力で、二人だけのデートや旅行ができるかも。
E-18	困った問題は、パートナーに打ち明けて。即、解決するはず。
F-18	黙っていても、心が通い合う時。二人の愛もいっそう深まりそう。
G-18	周囲からの人気が高まるラッキーデー。信頼を寄せる異性も…。
H-18	友達以上に親しくなれる異性が現れるかも。爽やかな友情です。
I-18	夫婦の絆を深めてくれる、ラッキーな出来事が。幸せを実感！
J-18	家族に嬉しい出来事あり。夫婦仲もますます良く絆も深まります。
K-18	友達と一緒に行動すると吉。相手が一番！と再確認ができそう。
L-18	家族が助け合い、一つにまとまる暗示。素直に感謝の気持ちを。
A-19	人気と信頼が高まりそう。気の合う異性の友達に出会えるかも。
B-19	夫婦関係がイマイチだったら、存在を見直されるチャンスです。
C-19	心がときめくような異性との出会いアリ。深入りしない様、注意。
D-19	異性との新たな出会いがありそう。忘れていた情熱がよみがえる？
E-19	友人の夫婦と行動すると、ラッキーな事が。相手の魅力を再発見。
F-19	気になる異性が現れる予感。パートナーには、内緒が無難。
G-19	趣味や、子供時代の思い出話で、会話が弾む楽しい一日でしょう。
H-19	ケンカ中の人は、友人を交えてディナーに出かけては？元通りに。
I-19	本音で語り合える異性の友人が登場しそう。気軽に相談できそう。
J-19	あなたの人気が急上昇。周囲からおしどり夫婦と呼ばれそうです。
K-19	尊敬できる異性に出会える暗示。お互いに信頼できるでしょう。
L-19	友達同士夫婦で集まって楽しく過ごせそう。相手の長所を発見。
A-20	刺激がほしいあなた、独身時代の恋の駆け引きを思い出して。
B-20	新婚当初に決めた約束事で、お互いに窮屈なら話し合ってみて。
C-20	結婚生活にマンネリ感のある人は、デートを思い出してみてね。
D-20	夫婦で思い出の場所を訪ねると、愛を再確認できる暗示あり。
E-20	二人で、リッチなディナーはいかが？新鮮な気分に戻れそう。
F-20	ちょっとしたプレゼントが、ふたりの心の絆を深めてくれそう。
G-20	相手が優しくて、軽く見てしまう傾向に。感謝の気持ちは伝えて。
H-20	二人の仲がよりホットになる日。イチオシは、スポーツ観戦。
I-20	家事分担を上手にシェアする事で、二人のハッピー度が急上昇。
J-20	夫婦でも、約束はきちんと守りましょう。信用の積み重ねが大事。
K-20	パートナーによって人間性が磨かれる日。仕事や人生観を語って。
L-20	お互いの実家などで、もめ事がある場合は、知恵を絞って吉。
A-21	他人の結婚生活をうらやむかも。他人の芝生は青く見えるだけ。
B-21	他人の結婚をうらやんだりしそう。見栄を張って、自己嫌悪に…。
C-21	パートナーの喜ぶ顔を見ることで、幸せを感じられるような日。
D-21	柔軟さが幸運へのカギ。新しい夫婦関係が生まれる事もありそう。
E-21	お互いの気持ちがスムーズに伝わりやすい日。要求が通りそう。
F-21	小さな思いやりが幸運につながる日。相手が喜ぶ事をしてあげて。
G-21	ラブレターや、メールでラブ・メッセージを。二人の仲が活性化！
H-21	夫婦で話し合う問題があれば、絶好の日。イイ解決策が見えます。
I-21	相手に対して腹の立つ事がありそう。相手の性格を賢く利用して。
J-21	夫婦でショッピングがラッキー。相手からプレゼントされるかも。
K-21	共通の趣味や仲間が見つかりそう。話題が豊富になりハッピー。
L-21	少々耳に痛いことでも、今日なら落ち着いて話ができそう。
A-22	ほのかにときめく異性が登場しそう。さり気なく助けてくれます。
B-22	お互いに良い意味で、刺激し合える異性の友達と出会えそう。
C-22	大人のおつきあいができそうな相手の出現。程々にしないと厄介。
D-22	趣味で知り合った異性と急接近の暗示。程々の距離をキープして。
E-22	パートナーに言い出しにくい事は、異性の友人に話してみては？
F-22	より多く共通の趣味を持つことが、夫婦仲を円満にする鍵です。
G-22	仲のいい友達を誘って、相手と一緒に飲みに行くと吉。ホットに！
H-22	趣味や仕事関係から、気の合う異性が現れそう。心が揺れるかも。
I-22	平穏な愛情に恵まれるでしょう。ちょっとしたお土産でラッキー。
J-22	知人夫婦と親しくなれそう。家族ぐるみでつき合うと、グッド。
K-22	心華やぐ出会いあり。洗練された穏やかな魅力にトキメキそう。
L-22	気の合う異性の友人と楽しい時間が過ごせそう。相談事もＯＫ。
A-23	ついブツブツ言いたくなっても相手を思い通りにするのは程々に。
B-23	家庭を二の次にしていたツケが回ってきそう。修復に取り組んで。
C-23	相手が結婚前と変わった事に、傷つくかも。あなたにも原因アリ。
D-23	お互いに忙しくてすれ違いでは？メモやメールが愛の確認の鍵。
E-23	相手に対する不満を強く感じそう。それは自分のエゴかもね。
F-23	相手を傷つける様な失言をしそう。夫婦といえども気配りを！
G-23	適度なジェラシーも愛の活力剤に、でも度を越すとウンザリかも。
H-23	衝突がありそう。決定的な一言は言わないように。離婚の原因に。
I-23	他人の事が原因で、ケンカになりそう。自分の意志を強く持って。
J-23	自由気ままにしてると、家族から総スカンに。上手くバランスを。
K-23	相手への不満がふつふつ。でも、自己中心的なのは、あなたかも。
L-23	夫婦ゲンカの暗示。お互いの意思を確認し、誤魔化さないで。
A-24	相手に対する要求が大き過ぎて、トゲトゲしい空気を感じるかも。
B-24	家庭がギクシャクするかも。意地を張らずに素直に謝りましょう。
C-24	結婚生活にやりきれない不満があり、我慢してるなら話し合いを。
D-24	お互いに、過去の話を蒸し返したり、不毛な口喧嘩になりがち。
E-24	自分は本当に愛されているのか、という疑問がわき起こりそう。
F-24	相手に不信感を抱いてしまうかも。でも、誤解である可能性大。
G-24	夫婦間の問題が浮上。ここで決着をつけないと、溝は深まる一方。
H-24	面倒な事をみんな相手に押しつけそう。夫婦の絆は、協力から。
I-24	相手の浮気を疑う事が。問いつめるより優しくした方がイイ薬に。
J-24	あれこれ検索されそうな暗示。やましくなければ正々堂々として。
K-24	家庭での居心地が悪いかも。でも、被害者意識を持つのは筋違い。
L-24	「奉仕」が今日のキーワード。相手のワガママも、受け入れて。
A-25	この結婚は本当に正しかったのか？そんな迷いが…。話し合いを！
B-25	過去の人の事が原因で、大ゲンカになりそう。今の生活を大事に。
C-25	浮気の疑いをかけられそう。晴らしておかないと後々面倒な事に。
D-25	無意識にたまっている不満が表面化しそう。冷静に話し合って。
E-25	自分ばかりが責任を押しつけられている感じで、頭に来るかも。
F-25	二人の間に心配事が出てきそう。責任の押しつけあいは、タブー！
G-25	家に職場のゴタゴタを持ち込むのはタブー。気持ちの切り替えを！
H-25	相手に不信感をもたれそう。慎重に！今日の嘘は確実にバレます。
I-25	子供や両親の事で、責任の押しつけ合いが。ある程度のルールを。
J-25	相手に恩着せがましい態度をとりがち。一方的な物言いは、ＮＧ。
K-25	苦い後悔の暗示。結婚に抱いていた夢や期待がそうさせるのかも。
L-25	子供時代のトラウマが、二人に深い影を落とすかも。根は深そう。
A-26	日頃のすれ違いが表面化し、離婚の危機にまで発展する可能性も。
B-26	離婚につながるような最悪の出来事の暗示。愛情が試されるとき。
C-26	言葉の行き違いが家庭崩壊の危機へ。相手には別の考え方があり。
D-26	あなたの愛情が試されるかも。今日のところはグッと我慢が賢明。
E-26	大ゲンカに発展しそうな暗示。譲れないようなら別れも近づく？
F-26	イライラからケンカしそう。この人だけは…という甘えは禁物。
G-26	意見の不一致からモメ事が起きる暗示。クールなあなたをキープ。
H-26	相手の態度にイライラしそう。相手にぶつけても空回り。忍耐！
I-26	夫婦の実感が持てず、結婚生活に不安を感じそう。冷静にね。
J-26	ギクシャクの夫婦は、別れ話の暗示。イヤなら気持ちを伝えて。
K-26	誰かと比較し相手のアラが気になる？相手次第で、良くも悪くも。
L-26	大きな不満感が、一気に爆発しそう。原因を追及しないと別離に。
A-27	浮気心が燃え上がる暗示。この恋はかなり危険だから覚悟して。
B-27	浮気心が災いして、とんでもない失態を演じそう。清廉潔白を！
C-27	浮気がドロ沼化しそうな暗示。相手と不倫相手が直接対決もアリ。
D-27	不倫願望が強くなりそれなりの相手も登場しそう。よく見極めて。
E-27	パートナー以外の異性に心奪われる暗示。トラブルを招く結果に。
F-27	恋をしたい衝動に。今の生活が大事なら、危ない火遊びはやめて！
G-27	相手への不満から違うタイプの異性に心奪われそう。今日は清く。
H-27	心トキメク出会いの予感。一時の感情に流されると後悔する事に。
I-27	パートナー以外と、ベッドインしそうな暗示。危険な情事を覚悟。
J-27	浮気の虫がムズムズ。今日の浮気は発覚の暗示。代償が大きそう。
K-27	不倫願望が高まる暗示。遊びでは割り切れません。ドロ沼覚悟で！
L-27	パートナーへの愛情が誰かに向いてしまう暗示。リスクを覚悟で。
A-28	相手の長所を発見し、結婚して良かった！と心から思えハッピー。
B-28	ほんわかムードで歩調がピッタリ。将来の事を話し合って吉。
C-28	いつもより夫婦の会話を持つと、深い信頼関係が築けるでしょう。
D-28	ほのぼのした幸せ。ツーカーの仲ならではの、心地よさを再発見。
E-28	二人にとって、ラッキーな出来事が起こる予感。険悪な仲も修復！
F-28	久しぶりにデートをすると、恋人同士のように、楽しい一日に。
G-28	幸福な気持ちに包まれる、穏やかな一日に。笑顔が最高の贈り物！
H-28	嬉しいニュースが舞い込みそう。夫婦仲は今まで以上にホットに。
I-28	二人を悩ませていた問題が解決し、スッキリした気分になれそう。
J-28	何事もなく平凡な一日。刺激が欲しければ、カラオケに行こう。
K-28	ハッピー！相手の長所がよくわかりこの人で良かったと思うはず。
L-28	心と心が通い合う、幸福感の暗示。離婚を、思い直すチャンス。
A-29	もめごと発生の暗示。イライラして言い争いになってしまいそう。
B-29	不平不満が大爆発しそう。刃傷沙汰にもなりかねない危険な影が。
C-29	夫婦間にトラブルの影アリ。くれぐれも誠実な対応を心がけて。
D-29	重箱の隅をつつくようなイヤミを連発しそう。相手は深く傷つく。
E-29	気持ちにスレ違いが出てきそう。思いやりの気持ちを忘れないで。
F-29	秘密にしていた事がバレて、一波乱あるかも。弁解より誠意を！
G-29	約束をすっぽかすと大ゲンカに。最低限のルールは守りましょう。
H-29	相手の良くない噂を聞いて不愉快に。問いつめるより、広い心で。
I-29	軽く扱われているような気持ちが。不満はハッキリ、口に出して。
J-29	相手に、発作的に投げつけた言葉が取り返しのつかない事態に。
K-29	不満と不安の暗示。訳もなく言い争いを吹っかけてしまうような。
L-29	すきま風の暗示。思いやりの太陽で温めないと、干からびそう。
A-30	夫婦だって優しい言葉は必要ですよ。リップサービスで効果満点。
B-30	共通の友達と食事でもいかが？パートナーに改めて惚れ直しそう。
C-30	今日は、パートナーに対してトキメクかも。たまにはデートでも。
D-30	ある事で、パートナーへの感謝がわいてきて相手にも伝わります。
E-30	今日は、気持ちがピタッと合わさって、愛情をしっかり確認！
F-30	ちょっとした気遣いが効果大。マンネリ気味の関係にも新鮮さが。
G-30	相手への不満がたまっているなら、ガス抜きにもってこいの日。
H-30	上等のワインでグラスを傾けてみては？ゆっくり過ごす時間が吉。
I-30	気持ちの行き違いがありそう。カラオケででも、気分転換をして。
J-30	すれ違い夫婦は、現実に縛られない夢物語を楽しんでみてね。
K-30	相手の優しい気づかいが、あなたをハッピーにしてくれそう。
L-30	二人の関係とは別の所で、少し波風が立ちそう。絆をしっかりと。
A-31	通勤途中などで、気になる異性と出会えそう。ウキウキするかも。
B-31	パートナーへの不意のプレゼントでますますハッピーカップルに。
C-31	優しい気持ちに。「愛してるよ」の一言をさり気なく口にしては？
D-31	ゲームや、ネットの話題で盛り上がったりして、無邪気なふたり。
E-31	夫婦の会話がトゲトゲしくなりがちな人は、手紙を書くと吉。
F-31	二人で、将来の夢を話し合ってみると、楽しい時間が過ごせそう。
G-31	職場の異性と飲みに行ってみては？夫婦の絆を再発見できそう。
H-31	ささやかなトキメキがあるかも。電車の中とか、ランチタイムに。
I-31	恋人時代のように可愛らしい愛情表現が、ラッキーの鍵です。
J-31	ちょっと刺激が欲しいあなたは同級生に連絡してみるとラッキー。
K-31	尊敬できる魅力的な異性に出会える暗示。ハリキって過ごせそう。
L-31	あなたの気持ちが伝わりやすい星回り。メールや手紙が効果的。
A-32	家事や育児をもうちょっとやってよ！そんな不満から大ゲンカに。
B-32	老親や子供の事で、問題が起こるかも。ポイントは夫婦の愛情。
C-32	実家が原因でトラブルが起きるかも。何にしても、家庭が基盤。
D-32	家事や育児の負担のアンバランスが原因で、険悪ムードを覚悟。
E-32	相手への不満が大きくなりそう。「足を知る」が今日のポイント。
F-32	相手に裏切られたような気持ちを抱くかも。冷静さが必要な日。
G-32	今日は家の中が、荒れ模様になりそう。原因はあなたのワガママ？
H-32	やけに腹立たしく感じられ、ハデな夫婦ゲンカに発展しそう。
I-32	義理の親のことで、不愉快な思いをしそう。相手には大事な存在。
J-32	相手とのコミュニケーションに不満を感じて、トゲトゲしそう。
K-32	家事や育児の分担で、深刻なケンカに。協力し合う気持ちが大事。
L-32	妻・夫という役割意識が強くなりそうで、息苦しさを感じそう。
A-33	とても情熱的な一日になりそう。思いのままに楽しめる暗示です。
B-33	意中の人と深い関係に進める絶好のチャンス！お洒落に決めて。
C-33	運勢は最高。積極的に大胆に行動して吉。誘惑も成功率高し！
D-33	今日のあなたは強烈にセクシー。周囲がドキドキしてしまいそう。
E-33	セクシャルなムードが高まり、より大胆なアプローチが出来そう。
F-33	情熱的なエッチが待っている暗示。狙った相手を落とす事も可能。
G-33	セクシーな魅力に輝く星回りです。ふたりの甘い時が過ごせそう。
H-33	情熱的な気分が高まる日。恋人と満ち足りた時間が過ごせそう。
I-33	いつもよりエネルギッシュに。あなたの積極的な態度にビックリ。
